Game Name,i,j,Engine Conditions,Simple Engine Conditions,Engine Future Error,Simple Engine Future Error
Bird1,2,3,48,25,5,5
Bird1,2,4,48,25,10,10
Bird1,2,5,48,25,17,17
Bird1,2,6,48,25,22,22
Bird1,2,7,48,25,29,29
Bird1,2,8,48,25,36,36
Bird1,2,9,48,25,43,43
Bird1,2,10,48,25,48,48
Bird1,2,11,48,25,53,53
Bird1,2,12,48,25,60,60
Bird1,2,13,48,25,65,65
Bird1,2,14,48,25,72,72
Bird1,2,15,48,25,79,79
Bird1,2,16,48,25,86,86
Bird1,2,17,48,25,93,93
Bird1,2,18,48,25,100,100
Bird1,2,19,48,25,105,105
Bird1,2,20,48,25,110,110
Bird1,2,21,48,25,117,117
Bird1,2,22,48,25,122,122
Bird1,2,23,48,25,127,127
Bird1,2,24,48,25,132,132
Bird1,2,25,48,25,137,137
Bird1,2,26,48,25,144,144
Bird1,2,27,48,25,151,151
Bird1,2,28,48,25,158,158
Bird1,2,29,48,25,165,165
Bird1,2,30,48,25,172,172
Bird1,2,31,48,25,179,179
Bird1,2,32,48,25,184,184
Bird1,2,33,48,25,189,189
Bird1,2,34,48,25,194,194
Bird1,2,35,48,25,201,201
Bird1,2,36,48,25,208,208
Bird1,2,37,48,25,215,215
Bird1,2,38,48,25,220,220
Bird1,2,39,48,25,225,225
Bird1,2,40,48,25,230,230
Bird1,2,41,48,25,235,235
Bird1,2,42,48,25,240,240
Bird1,2,43,48,25,247,247
Bird1,2,44,48,25,254,254
Bird1,2,45,48,25,261,261
Bird1,3,4,48,25,5,5
Bird1,3,5,48,25,12,12
Bird1,3,6,48,25,17,17
Bird1,3,7,48,25,22,22
Bird1,3,8,48,25,29,29
Bird1,3,9,48,25,36,36
Bird1,3,10,48,25,41,41
Bird1,3,11,48,25,46,46
Bird1,3,12,48,25,53,53
Bird1,3,13,48,25,58,58
Bird1,3,14,48,25,65,65
Bird1,3,15,48,25,72,72
Bird1,3,16,48,25,79,79
Bird1,3,17,48,25,86,86
Bird1,3,18,48,25,93,93
Bird1,3,19,48,25,98,98
Bird1,3,20,48,25,103,103
Bird1,3,21,48,25,110,110
