Game Name,i,j,Engine Conditions,Simple Engine Conditions,Engine Future Error,Simple Engine Future Error
Sokoban1,2,3,0,0,3,3
Sokoban1,2,4,0,0,12,12
Sokoban1,2,5,0,0,17,17
Sokoban1,2,6,0,0,24,24
Sokoban1,2,7,0,0,29,29
Sokoban1,2,8,0,0,34,34
Sokoban1,2,9,0,0,37,37
Sokoban1,2,10,0,0,44,44
Sokoban1,2,11,0,0,51,51
Sokoban1,2,12,0,0,58,58
Sokoban1,2,13,0,0,67,67
Sokoban1,2,14,0,0,72,72
Sokoban1,2,15,0,0,75,75
Sokoban1,2,16,0,0,82,82
Sokoban1,2,17,0,0,89,89
Sokoban1,2,18,0,0,94,94
Sokoban1,2,19,0,0,99,99
Sokoban1,2,20,0,0,102,102
Sokoban1,2,21,0,0,109,109
Sokoban1,2,22,0,0,114,114
Sokoban1,2,23,0,0,119,119
Sokoban1,2,24,0,0,126,126
Sokoban1,2,25,0,0,133,133
Sokoban1,2,26,0,0,138,138
Sokoban1,2,27,0,0,145,145
Sokoban1,2,28,0,0,154,154
Sokoban1,2,29,0,0,163,163
Sokoban1,2,30,0,0,170,170
Sokoban1,2,31,0,0,177,177
Sokoban1,2,32,0,0,182,182
Sokoban1,2,33,0,0,187,187
Sokoban1,2,34,0,0,190,190
Sokoban1,2,35,0,0,193,193
Sokoban1,2,36,0,0,200,200
Sokoban1,2,37,0,0,207,207
Sokoban1,2,38,0,0,214,214
Sokoban1,2,39,0,0,223,223
Sokoban1,2,40,0,0,232,232
Sokoban1,2,41,0,0,239,239
Sokoban1,3,4,24,11,9,9
Sokoban1,3,5,24,11,14,14
Sokoban1,3,6,24,11,21,21
Sokoban1,3,7,24,11,26,26
Sokoban1,3,8,24,11,31,31
Sokoban1,3,9,24,11,34,34
Sokoban1,3,10,24,11,41,41
Sokoban1,3,11,24,11,48,48
Sokoban1,3,12,24,11,55,55
Sokoban1,3,13,24,11,64,64
Sokoban1,3,14,24,11,69,69
Sokoban1,3,15,24,11,72,72
Sokoban1,3,16,24,11,79,79
Sokoban1,3,17,24,11,86,86
Sokoban1,3,18,24,11,91,91
Sokoban1,3,19,24,11,96,96
Sokoban1,3,20,24,11,99,99
Sokoban1,3,21,24,11,106,106
Sokoban1,3,22,24,11,111,111
Sokoban1,3,23,24,11,116,116
Sokoban1,3,24,24,11,123,123
Sokoban1,3,25,24,11,130,130
Sokoban1,3,26,24,11,135,135
Sokoban1,3,27,24,11,142,142
Sokoban1,3,28,24,11,151,151
Sokoban1,3,29,24,11,160,160
Sokoban1,3,30,24,11,167,167
Sokoban1,3,31,24,11,174,174
Sokoban1,3,32,24,11,179,179
Sokoban1,3,33,24,11,184,184
Sokoban1,3,34,24,11,187,187
Sokoban1,3,35,24,11,190,190
Sokoban1,3,36,24,11,197,197
Sokoban1,3,37,24,11,204,204
Sokoban1,3,38,24,11,211,211
Sokoban1,3,39,24,11,220,220
Sokoban1,3,40,24,11,229,229
Sokoban1,3,41,24,11,236,236
Sokoban1,4,5,48,19,5,5
Sokoban1,4,6,48,19,12,12
Sokoban1,4,7,48,19,17,17
Sokoban1,4,8,48,19,22,22
Sokoban1,4,9,48,19,25,25
Sokoban1,4,10,48,19,32,32
Sokoban1,4,11,48,19,39,39
Sokoban1,4,12,48,19,46,46
Sokoban1,4,13,48,19,55,55
Sokoban1,4,14,48,19,60,60
Sokoban1,4,15,48,19,63,63
Sokoban1,4,16,48,19,70,70
Sokoban1,4,17,48,19,77,77
Sokoban1,4,18,48,19,82,82
Sokoban1,4,19,48,19,87,87
Sokoban1,4,20,48,19,90,90
Sokoban1,4,21,48,19,97,97
Sokoban1,4,22,48,19,102,102
Sokoban1,4,23,48,19,107,107
Sokoban1,4,24,48,19,114,114
Sokoban1,4,25,48,19,121,121
Sokoban1,4,26,48,19,126,126
Sokoban1,4,27,48,19,133,133
Sokoban1,4,28,48,19,142,142
Sokoban1,4,29,48,19,151,151
Sokoban1,4,30,48,19,158,158
Sokoban1,4,31,48,19,165,165
Sokoban1,4,32,48,19,170,170
Sokoban1,4,33,48,19,175,175
Sokoban1,4,34,48,19,178,178
Sokoban1,4,35,48,19,181,181
Sokoban1,4,36,48,19,188,188
Sokoban1,4,37,48,19,195,195
Sokoban1,4,38,48,19,202,202
Sokoban1,4,39,48,19,211,211
Sokoban1,4,40,48,19,220,220
Sokoban1,4,41,48,19,227,227
Sokoban1,5,6,67,26,7,7
Sokoban1,5,7,67,26,12,12
Sokoban1,5,8,67,26,17,17
Sokoban1,5,9,67,26,20,20
Sokoban1,5,10,67,26,27,27
Sokoban1,5,11,67,26,34,34
Sokoban1,5,12,67,26,41,41
Sokoban1,5,13,67,26,50,50
Sokoban1,5,14,67,26,55,55
Sokoban1,5,15,67,26,58,58
Sokoban1,5,16,67,26,65,65
Sokoban1,5,17,67,26,72,72
Sokoban1,5,18,67,26,77,77
Sokoban1,5,19,67,26,82,82
Sokoban1,5,20,67,26,85,85
Sokoban1,5,21,67,26,92,92
Sokoban1,5,22,67,26,97,97
Sokoban1,5,23,67,26,102,102
Sokoban1,5,24,67,26,109,109
Sokoban1,5,25,67,26,116,116
Sokoban1,5,26,67,26,121,121
Sokoban1,5,27,67,26,128,128
Sokoban1,5,28,67,26,137,137
Sokoban1,5,29,67,26,146,146
Sokoban1,5,30,67,26,153,153
Sokoban1,5,31,67,26,160,160
Sokoban1,5,32,67,26,165,165
Sokoban1,5,33,67,26,170,170
Sokoban1,5,34,67,26,173,173
Sokoban1,5,35,67,26,176,176
Sokoban1,5,36,67,26,183,183
Sokoban1,5,37,67,26,190,190
Sokoban1,5,38,67,26,197,197
Sokoban1,5,39,67,26,206,206
Sokoban1,5,40,67,26,215,215
Sokoban1,5,41,67,26,222,222
Sokoban1,6,7,84,29,5,5
Sokoban1,6,8,84,29,10,10
Sokoban1,6,9,84,29,13,13
Sokoban1,6,10,84,29,20,20
Sokoban1,6,11,84,29,27,27
Sokoban1,6,12,84,29,34,34
Sokoban1,6,13,84,29,43,43
Sokoban1,6,14,84,29,48,48
Sokoban1,6,15,84,29,51,51
Sokoban1,6,16,84,29,58,58
Sokoban1,6,17,84,29,65,65
Sokoban1,6,18,84,29,70,70
Sokoban1,6,19,84,29,75,75
Sokoban1,6,20,84,29,78,78
Sokoban1,6,21,84,29,85,85
Sokoban1,6,22,84,29,90,90
Sokoban1,6,23,84,29,95,95
Sokoban1,6,24,84,29,102,102
Sokoban1,6,25,84,29,109,109
Sokoban1,6,26,84,29,114,114
Sokoban1,6,27,84,29,121,121
