Game Name,i,j,Engine Conditions,Simple Engine Conditions,Engine UTN Error,Simple Engine UTN Error
Bird1,2,1,48,25,0,0
Bird1,3,1,48,25,0,0
Bird1,3,2,48,25,0,0
Bird1,4,1,48,25,0,0
Bird1,4,2,48,25,0,0
Bird1,4,3,48,25,0,0
Bird1,5,1,48,25,0,0
Bird1,5,2,48,25,0,0
Bird1,5,3,48,25,0,0
Bird1,5,4,48,25,0,0
Bird1,6,1,72,38,0,0
Bird1,6,2,72,38,0,0
Bird1,6,3,72,38,0,0
Bird1,6,4,72,38,0,0
Bird1,6,5,72,38,5,5
Bird1,7,1,66,32,0,0
Bird1,7,2,66,32,0,0
Bird1,7,3,66,32,0,0
Bird1,7,4,66,32,0,0
Bird1,7,5,66,32,5,5
Bird1,7,6,66,32,8,8
Bird1,8,1,90,45,0,0
Bird1,8,2,90,45,0,0
Bird1,8,3,90,45,0,0
Bird1,8,4,90,45,0,0
Bird1,8,5,90,45,5,5
Bird1,8,6,90,45,8,8
Bird1,8,7,90,45,13,13
Bird1,9,1,90,45,0,0
Bird1,9,2,90,45,0,0
Bird1,9,3,90,45,0,0
Bird1,9,4,90,45,0,0
Bird1,9,5,90,45,5,5
Bird1,9,6,90,45,8,8
Bird1,9,7,90,45,13,13
Bird1,9,8,90,45,18,18
Bird1,10,1,90,45,0,0
Bird1,10,2,90,45,0,0
Bird1,10,3,90,45,0,0
Bird1,10,4,90,45,0,0
Bird1,10,5,90,45,5,5
Bird1,10,6,90,45,8,8
Bird1,10,7,90,45,13,13
Bird1,10,8,90,45,18,18
Bird1,10,9,90,45,23,23
Bird1,11,1,114,68,0,0
Bird1,11,2,114,68,0,0
Bird1,11,3,114,68,0,0
Bird1,11,4,114,68,0,0
Bird1,11,5,114,68,5,5
Bird1,11,6,114,68,8,8
Bird1,11,7,114,68,13,13
Bird1,11,8,114,68,18,18
Bird1,11,9,114,68,23,23
Bird1,11,10,114,68,26,26
Bird1,12,1,114,68,0,0
Bird1,12,2,114,68,0,0
Bird1,12,3,114,68,0,0
Bird1,12,4,114,68,0,0
Bird1,12,5,114,68,5,5
Bird1,12,6,114,68,8,8
Bird1,12,7,114,68,13,13
Bird1,12,8,114,68,18,18
Bird1,12,9,114,68,23,23
Bird1,12,10,114,68,26,26
Bird1,12,11,114,68,29,29
Bird1,13,1,108,62,0,0
Bird1,13,2,108,62,0,0
Bird1,13,3,108,62,0,0
Bird1,13,4,108,62,0,0
Bird1,13,5,108,62,5,5
Bird1,13,6,108,62,8,8
Bird1,13,7,108,62,13,13
Bird1,13,8,108,62,18,18
Bird1,13,9,108,62,23,23
Bird1,13,10,108,62,26,26
Bird1,13,11,108,62,29,29
Bird1,13,12,108,62,34,34
Bird1,14,1,102,56,0,0
Bird1,14,2,102,56,0,0
Bird1,14,3,102,56,0,0
Bird1,14,4,102,56,0,0
Bird1,14,5,102,56,5,5
Bird1,14,6,102,56,8,8
Bird1,14,7,102,56,13,13
Bird1,14,8,102,56,18,18
Bird1,14,9,102,56,23,23
Bird1,14,10,102,56,26,26
Bird1,14,11,102,56,29,29
Bird1,14,12,102,56,34,34
Bird1,14,13,102,56,37,37
Bird1,15,1,102,56,0,0
Bird1,15,2,102,56,0,0
Bird1,15,3,102,56,0,0
Bird1,15,4,102,56,0,0
Bird1,15,5,102,56,5,5
Bird1,15,6,102,56,8,8
Bird1,15,7,102,56,13,13
Bird1,15,8,102,56,18,18
Bird1,15,9,102,56,23,23
Bird1,15,10,102,56,26,26
Bird1,15,11,102,56,29,29
Bird1,15,12,102,56,34,34
Bird1,15,13,102,56,37,37
Bird1,15,14,102,56,42,42
Bird1,16,1,102,56,0,0
Bird1,16,2,102,56,0,0
Bird1,16,3,102,56,0,0
Bird1,16,4,102,56,0,0
Bird1,16,5,102,56,5,5
Bird1,16,6,102,56,8,8
Bird1,16,7,102,56,13,13
Bird1,16,8,102,56,18,18
Bird1,16,9,102,56,23,23
Bird1,16,10,102,56,26,26
Bird1,16,11,102,56,29,29
Bird1,16,12,102,56,34,34
Bird1,16,13,102,56,37,37
Bird1,16,14,102,56,42,42
Bird1,16,15,102,56,47,47
Bird1,17,1,102,56,0,0
Bird1,17,2,102,56,0,0
Bird1,17,3,102,56,0,0
Bird1,17,4,102,56,0,0
Bird1,17,5,102,56,5,5
Bird1,17,6,102,56,8,8
Bird1,17,7,102,56,13,13
Bird1,17,8,102,56,18,18
Bird1,17,9,102,56,23,23
Bird1,17,10,102,56,26,26
Bird1,17,11,102,56,29,29
Bird1,17,12,102,56,34,34
Bird1,17,13,102,56,37,37
Bird1,17,14,102,56,42,42
Bird1,17,15,102,56,47,47
Bird1,17,16,102,56,52,52
Bird1,18,1,102,56,0,0
Bird1,18,2,102,56,0,0
Bird1,18,3,102,56,0,0
Bird1,18,4,102,56,0,0
Bird1,18,5,102,56,5,5
Bird1,18,6,102,56,8,8
Bird1,18,7,102,56,13,13
Bird1,18,8,102,56,18,18
Bird1,18,9,102,56,23,23
Bird1,18,10,102,56,26,26
Bird1,18,11,102,56,29,29
Bird1,18,12,102,56,34,34
Bird1,18,13,102,56,37,37
Bird1,18,14,102,56,42,42
Bird1,18,15,102,56,47,47
Bird1,18,16,102,56,52,52
Bird1,18,17,102,56,57,57
Bird1,19,1,102,56,0,0
Bird1,19,2,102,56,0,0
Bird1,19,3,102,56,0,0
Bird1,19,4,102,56,0,0
Bird1,19,5,102,56,5,5
Bird1,19,6,102,56,8,8
Bird1,19,7,102,56,13,13
Bird1,19,8,102,56,18,18
Bird1,19,9,102,56,23,23
Bird1,19,10,102,56,26,26
Bird1,19,11,102,56,29,29
Bird1,19,12,102,56,34,34
Bird1,19,13,102,56,37,37
Bird1,19,14,102,56,42,42
Bird1,19,15,102,56,47,47
Bird1,19,16,102,56,52,52
Bird1,19,17,102,56,57,57
Bird1,19,18,102,56,62,62
Bird1,20,1,102,56,0,0
Bird1,20,2,102,56,0,0
Bird1,20,3,102,56,0,0
Bird1,20,4,102,56,0,0
Bird1,20,5,102,56,5,5
Bird1,20,6,102,56,8,8
Bird1,20,7,102,56,13,13
Bird1,20,8,102,56,18,18
Bird1,20,9,102,56,23,23
Bird1,20,10,102,56,26,26
Bird1,20,11,102,56,29,29
Bird1,20,12,102,56,34,34
Bird1,20,13,102,56,37,37
Bird1,20,14,102,56,42,42
Bird1,20,15,102,56,47,47
