Game Name,i,j,Engine Conditions,Simple Engine Conditions,Engine UTN Error,Simple Engine UTN Error
Sokoban1,2,1,0,0,0,0
Sokoban1,3,1,24,11,0,0
Sokoban1,3,2,24,11,5,5
Sokoban1,4,1,48,19,0,0
Sokoban1,4,2,48,19,5,5
Sokoban1,4,3,48,19,8,8
Sokoban1,5,1,67,26,0,0
Sokoban1,5,2,67,26,5,5
Sokoban1,5,3,67,26,8,8
Sokoban1,5,4,67,26,17,17
Sokoban1,6,1,84,29,0,0
Sokoban1,6,2,84,29,5,5
Sokoban1,6,3,84,29,8,8
Sokoban1,6,4,84,29,17,17
Sokoban1,6,5,84,29,22,22
Sokoban1,7,1,108,40,0,0
Sokoban1,7,2,108,40,5,5
Sokoban1,7,3,108,40,8,8
Sokoban1,7,4,108,40,17,17
Sokoban1,7,5,108,40,22,22
Sokoban1,7,6,108,40,29,29
Sokoban1,8,1,132,53,0,0
Sokoban1,8,2,132,53,5,5
Sokoban1,8,3,132,53,8,8
Sokoban1,8,4,132,53,17,17
Sokoban1,8,5,132,53,22,22
Sokoban1,8,6,132,53,29,29
Sokoban1,8,7,132,53,34,34
Sokoban1,9,1,127,48,0,0
Sokoban1,9,2,127,48,5,5
Sokoban1,9,3,127,48,8,8
Sokoban1,9,4,127,48,17,17
Sokoban1,9,5,127,48,22,22
Sokoban1,9,6,127,48,29,29
Sokoban1,9,7,127,48,34,34
Sokoban1,9,8,127,48,39,39
Sokoban1,10,1,122,43,0,0
Sokoban1,10,2,122,43,5,5
Sokoban1,10,3,122,43,8,8
Sokoban1,10,4,122,43,17,17
Sokoban1,10,5,122,43,22,22
Sokoban1,10,6,122,43,29,29
Sokoban1,10,7,122,43,34,34
Sokoban1,10,8,122,43,39,39
Sokoban1,10,9,122,43,42,42
Sokoban1,11,1,121,42,0,0
Sokoban1,11,2,121,42,5,5
Sokoban1,11,3,121,42,8,8
Sokoban1,11,4,121,42,17,17
Sokoban1,11,5,121,42,22,22
Sokoban1,11,6,121,42,29,29
Sokoban1,11,7,121,42,34,34
Sokoban1,11,8,121,42,39,39
Sokoban1,11,9,121,42,42,42
Sokoban1,11,10,121,42,49,49
Sokoban1,12,1,121,42,0,0
Sokoban1,12,2,121,42,5,5
Sokoban1,12,3,121,42,8,8
Sokoban1,12,4,121,42,17,17
Sokoban1,12,5,121,42,22,22
Sokoban1,12,6,121,42,29,29
Sokoban1,12,7,121,42,34,34
Sokoban1,12,8,121,42,39,39
Sokoban1,12,9,121,42,42,42
Sokoban1,12,10,121,42,49,49
Sokoban1,12,11,121,42,56,56
Sokoban1,13,1,145,65,0,0
